symbol,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,2000,2700,2790,2791,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
TVB,Công ty Cổ phần Chứng khoán T-Cap,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
TVT,Tổng Công ty Việt Thắng - CTCP,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
TYA,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,2000,2700,2730,2733,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
UIC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
VAB,Ngân hàng Thương mại Cổ phần Việt Á,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
VAF,Công ty Cổ phần Phân lân nung chảy Văn Điển,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
VCA,Công ty Cổ phần Thép VICASA - VNSTEEL,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
VCF,Công ty Cổ phần VinaCafé Biên Hòa,3000,3500,3530,3537,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
VCI,Công ty Cổ phần Chứng khoán Vietcap,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
VCK,Công ty Cổ phần Chứng Khoán VPS,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
VDP,Công ty Cổ phần Dược phẩm Trung ương VIDIPHA,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
VFG,Công ty Cổ phần Khử trùng Việt Nam,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
VGC,Tổng Công ty Viglacera - Công ty Cổ phần,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
VHC,Công ty Cổ phần Vĩnh Hoàn,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
VHM,Công ty Cổ phần Vinhomes,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
VIC,Tập đoàn Vingroup - Công ty CP,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
VID,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,1000,1700,1730,1737,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
VIX,Công ty Cổ phần Chứng khoán VIX,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
VJC,Công ty Cổ phần Hàng không Vietjet,5000,5700,5750,5751,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không
VLF,,,,,,,,
VMD,Công ty Cổ phần Y Dược phẩm Vimedimex,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
VND,Công ty Cổ phần Chứng khoán VNDIRECT,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
VNG,Công ty Cổ phần Du Lịch Thành Thành Công,5000,5700,5750,5753,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
VNL,Công ty Cổ phần Logistics Vinalink,2000,2700,2770,2779,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
VNM,Công ty Cổ phần Sữa Việt Nam,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
VNS,Công ty Cổ phần Ánh Dương Việt Nam,5000,5700,5750,5759,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
VOC,,,,,,,,
VOS,Công ty Cổ phần Vận tải Biển Việt Nam,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
VPD,Công ty Cổ phần Phát triển Điện lực Việt Nam,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,1000,1700,1770,1775,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
VPH,Công ty Cổ phần Vạn Phát Hưng,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
VPI,Công ty Cổ phần Phát triển Bất động sản Văn Phú,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
VPL,Công ty Cổ phần Vinpearl,5000,5700,5750,5755,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
VPS,Công ty Cổ phần Thuốc sát trùng Việt Nam,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
VPX,Công ty Cổ phần Chứng khoán VPBank,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
VRE,Công ty Cổ phần Vincom Retail,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
VSC,Công ty Cổ phần Container Việt Nam,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
VSI,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
VTB,Công ty Cổ phần Viettronics Tân Bình,2000,2700,2730,2733,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
VTO,Công ty Cổ phần Vận tải Xăng dầu VITACO,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,2000,2700,2770,2771,Hàng & Dịch vụ Công nghiệp,Vận tải,Chuyển phát nhanh
VVS,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,3000,3300,3350,3353,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
YBM,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,1000,1700,1770,1775,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
YEG,Công ty Cổ phần Tập đoàn Yeah1,5000,5500,5550,5553,Truyền thông,Truyền thông,Giải trí & Truyền thông
