symbol,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,3000,3300,3350,3357,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe
CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
CTD,Công ty Cổ phần Xây dựng Coteccons,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CTF,Công ty Cổ phần City Auto,3000,3300,3350,3353,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CTR,Tổng Công ty Cổ phần Công trình Viettel,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CTS,Công ty Cổ phần Chứng khoán Vietinbank,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
CVT,Công ty Cổ phần CMC,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,5000,5700,5750,5753,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
DAT,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
DBT,Công ty Cổ phần Dược phẩm Bến Tre,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
DC4,Công ty Cổ phần Dicera Holdings,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DCL,Công ty Cổ phần Dược phẩm Cửu Long,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
DCM,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
