ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Convertible bonds (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),symbol,Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve
CTF,2018,2,476984992072.0,18850780452,0.0,294035798146.0,159105477546.0,4992935928.0,161537105534.0,115232827634,0.0,4039371911.0,638522097606,420209221147,419904221147.0,305000000.0,218312876459,218312876459.0,,12800018639,638522097606,17126760789.0,159332194534.0,,8751560692.0,180000000000.0,180000000000,305000000.0,16351801415.0,319992079346.0,4039371911.0,0.0,41712675499.0,41712675499.0,CTF,,,15562218236.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2018,1,544039355887.0,10813356529,0.0,366998246575.0,161884215295.0,4343537488.0,165228819355.0,113833787801,0.0,4680313782.0,709268175242,476424169933,475169169933.0,1255000000.0,232844005309,232844005309.0,,30234635407,709268175242,21760048154.0,162110932283.0,,6019792133.0,180000000000.0,180000000000,1255000000.0,15771987132.0,347021943266.0,4680313782.0,0.0,46512675499.0,46512675499.0,CTF,,,15467677784.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2025,4,,12583484000000,,,,,,10826743000000,4428296000000.0,,2767699300000000,2588058119000000,,,179641181000000,,1574563000000.0,58201597000000,2767699300000000,,,,,,77669446000000,,,,,234462000000.0,,,CTG,,,1206433000000.0,,,35225543000000.0,476487530000000.0,2942431000000.0,3044151000000.0,-101720000000.0,228448000000.0,1957462503000000.0,1992272868000000.0,-34810365000000.0,211880390000000.0,203605111000000.0,8806918000000.0,-531639000000.0,4193834000000.0,0.0,6729017000000.0,4097726000000.0,55633932000000.0,144592357000000.0,417724115000000.0,1793732057000000.0,0.0,2113898000000.0,174030352000000.0,55865340000000.0,88218675000000.0,31651728000000.0,362748000000.0,0.0
CTG,2025,3,,11927654000000,,,,,,9979231000000,4385480000000.0,,2761550938000000,2591669938000000,,,169881000000000,,1574563000000.0,78693609000000,2761550938000000,,,,,,53699917000000,,,,,234462000000.0,,,CTG,,,1165959000000.0,,,26381835000000.0,487526891000000.0,2624628000000.0,2727659000000.0,-103031000000.0,223329000000.0,1952226906000000.0,1990563217000000.0,-38336311000000.0,218460721000000.0,204922227000000.0,14068921000000.0,-530427000000.0,4158353000000.0,-7335000000.0,6091227000000.0,3888004000000.0,47814263000000.0,167351110000000.0,412057260000000.0,1775527421000000.0,0.0,2117928000000.0,182199719000000.0,52416500000000.0,64249146000000.0,25361600000000.0,410686000000.0,0.0
CTG,2025,2,,11463197000000,,,,,,9957216000000,4231173000000.0,,2609788006000000,2445961810000000,,,163826196000000,,1393150000000.0,72903163000000,2609788006000000,,,,,,53699917000000,,,,,234462000000.0,,,CTG,,,1102280000000.0,,,13692083000000.0,428879341000000.0,2209173000000.0,2326459000000.0,-117286000000.0,0.0,1865914070000000.0,1899351501000000.0,-33437431000000.0,227708956000000.0,208353252000000.0,19874993000000.0,-519289000000.0,4004046000000.0,-7335000000.0,6117422000000.0,3839794000000.0,45732797000000.0,138527513000000.0,306985657000000.0,1719957759000000.0,641551000000.0,2163542000000.0,227953926000000.0,49731862000000.0,64067733000000.0,25343661000000.0,409359000000.0,0.0
CTG,2025,1,,11517746000000,,,,,,9800697000000,4071083000000.0,,2469863401000000,2315881229000000,,,153982172000000,,909405000000.0,63803161000000,2469863401000000,,,,,,53699917000000,,,,,234462000000.0,,,CTG,,,1051241000000.0,,,13043069000000.0,406579256000000.0,3066934000000.0,3211458000000.0,-144524000000.0,0.0,1762190229000000.0,1800459242000000.0,-38269013000000.0,215370170000000.0,191116235000000.0,24769426000000.0,-515491000000.0,3843956000000.0,-7335000000.0,5998739000000.0,3801958000000.0,44224217000000.0,138574667000000.0,309038693000000.0,1621227454000000.0,532504000000.0,2115411000000.0,203356202000000.0,41036298000000.0,63583999000000.0,25314098000000.0,229673000000.0,0.0
CTG,2024,4,,11147549000000,,,,,,10002157000000,3933844000000.0,,2385387732000000,2236883024000000,,,148504708000000,,909405000000.0,58390118000000,2385387732000000,,,,,,53699917000000,,,,,234462000000.0,,,CTG,,,970729000000.0,,,34431657000000.0,378482885000000.0,2798875000000.0,2990692000000.0,-191817000000.0,0.0,1685290589000000.0,1721954714000000.0,-36664125000000.0,214607153000000.0,188557477000000.0,26635861000000.0,-586185000000.0,3706673000000.0,-7291000000.0,6149216000000.0,3852941000000.0,44693023000000.0,154284104000000.0,276141255000000.0,1606316685000000.0,390841000000.0,2179950000000.0,151678090000000.0,45892099000000.0,63583999000000.0,25316757000000.0,243105000000.0,0.0
CTG,2024,3,,10239086000000,,,,,,9622806000000,3761550000000.0,,2229791111000000,2088805155000000,,,140985956000000,,836032000000.0,57471783000000,2229791111000000,,,,,,53699917000000,,,,,234462000000.0,,,CTG,,,890808000000.0,,,26611768000000.0,378231233000000.0,3234357000000.0,3417931000000.0,-183574000000.0,350654000000.0,1569844441000000.0,1605381436000000.0,-35536995000000.0,181055780000000.0,159435714000000.0,22215768000000.0,-595702000000.0,3541519000000.0,-14431000000.0,5780898000000.0,3841908000000.0,46839436000000.0,95457490000000.0,298636949000000.0,1516890438000000.0,0.0,2104778000000.0,131825535000000.0,43889965000000.0,63510626000000.0,19077178000000.0,35561000000.0,0.0
CTG,2024,2,,9457900000000,,,,,,9763538000000,3743822000000.0,,2161436302000000,2025463448000000,,,135972854000000,,836032000000.0,52284565000000,2161436302000000,,,,,,53699917000000,,,,,234462000000.0,,,CTG,,,924155000000.0,,,28980462000000.0,351233814000000.0,2259106000000.0,2439833000000.0,-180727000000.0,0.0,1543489193000000.0,1571529403000000.0,-28040210000000.0,159855150000000.0,149246016000000.0,11003443000000.0,-394309000000.0,3523791000000.0,-14431000000.0,5870057000000.0,3893481000000.0,52653317000000.0,111854927000000.0,297408527000000.0,1466830363000000.0,1378025000000.0,2232594000000.0,100256876000000.0,45502136000000.0,63510626000000.0,19070977000000.0,182531000000.0,0.0
CTG,2024,1,,9408384000000,,,,,,9921221000000,3530248000000.0,,2077615056000000,1947032568000000,,,130582488000000,,836032000000.0,46998456000000,2077615056000000,,,,,,53699917000000,,,,,234462000000.0,,,CTG,,,899613000000.0,,,17340570000000.0,332707091000000.0,1935074000000.0,2119491000000.0,-184417000000.0,265425000000.0,1483622353000000.0,1514397585000000.0,-30775232000000.0,164156445000000.0,158650480000000.0,5865343000000.0,-359378000000.0,3310217000000.0,-14431000000.0,5961800000000.0,3959421000000.0,54728245000000.0,46137063000000.0,325515909000000.0,1427664878000000.0,0.0,2201409000000.0,101543990000000.0,43969319000000.0,63510626000000.0,19048471000000.0,125322000000.0,0.0
